FID,STATEFP,COUNTYFP,COUNTYNM,TRACTCE,GEOID,ALAND,AWATER,ASQMI,INTPTLAT,INTPTLON,MSSAID,MSSANM,DEFINITION,TOTALPOVPO,Shape__Area,Shape__Length
1,06,029,Kern,004402,06029004402,1865739,0,0.720365381494,+35.5917343,-119.3337642,58.2,Lost Hills/Wasco,Rural,5204,2827597.953125,7986.81554826062
2,06,047,Merced,000802,06047000802,2321653,0,0.896394697438,+37.3433591,-120.5854604,96,Atwater/Snelling/Winton,Rural,4360,3679780.29296875,8114.34737453647
3,06,085,Santa Clara,501402,06085501402,522620,0,0.201785164076,+37.3453341,-121.8665169,183d,Downtown San Jose,Urban,3161,828389.3828125,4298.7881328608
4,06,005,Amador,000102,06005000102,456204155,7940832,179.2073593,+38.5496993,-120.2509786,6,Pioneer,Rural,1713,759858109.148438,194792.156641362
5,06,029,Kern,004901,06029004901,1459379,0,0.563470235619,+35.7837173,-119.2462266,60,Delano/McFarland,Urban,6078,2222325.3359375,6319.94463308266
6,06,019,Fresno,005405,06019005405,1931345,0,0.74569521534,+36.8266434,-119.7677399,35f,Fresno North Central,Urban,5110,3020045.44921875,8042.03203739474
7,06,073,San Diego,020811,06073020811,47998881,0,18.5325109682,+33.0026703,-116.7739397,158.2,Ballena/Four Corners/San Diego Country Estates,Urban,5613,68433087.2304688,47718.5211100519
8,06,047,Merced,001003,06047001003,1940304,0,0.749155856648,+37.3206471,-120.4954540,97.1,Merced Central and North/Merced Southeast,Urban,4567,3073508.7578125,8233.17537131113
9,06,019,Fresno,004303,06019004303,3799395,33517,1.47989473925,+36.8193465,-119.8284236,35a,Fresno Northwest,Urban,4727,5991814.90625,9848.75555171163
10,06,005,Amador,000303,06005000303,136249615,765095,52.9017189013,+38.3544256,-120.9292323,4,Ione/Jackson/Pine Grove/Sutter Creek,Rural,8555,223155699.53125,83766.5011033459
11,06,005,Amador,000101,06005000101,63019987,0,24.3321494718,+38.4649426,-120.5707494,6,Pioneer,Rural,3519,102951262.554688,52697.9885600217
12,06,005,Amador,000304,06005000304,141704648,15460893,60.6819511838,+38.2787591,-120.9241264,4,Ione/Jackson/Pine Grove/Sutter Creek,Rural,4521,255479759.855469,85269.4491526226
13,06,047,Merced,001401,06047001401,1766896,0,0.682200657474,+37.2986938,-120.4642099,97.1,Merced Central and North/Merced Southeast,Urban,3702,2797197.61328125,9161.75087387719
14,06,047,Merced,001402,06047001402,4931862,0,1.90420626254,+37.3030351,-120.4432482,97.1,Merced Central and North/Merced Southeast,Urban,4439,7808622.59765625,13754.9270521554
15,06,047,Merced,001501,06047001501,6543182,0,2.52633786608,+37.2921188,-120.5149483,97.2,El Nido/Merced Southwest,Rural,2260,10356834.4804688,14796.4556463273
16,06,047,Merced,001601,06047001601,2115088,0,0.816641451327,+37.2916308,-120.4768027,97.2,El Nido/Merced Southwest,Rural,4733,3347814.74609375,9341.92599626629
17,06,019,Fresno,005504,06019005504,2520551,0,0.973189593515,+36.8885345,-119.7386292,35a,Fresno Northwest,Urban,2870,3947725.12890625,7953.03270811371
18,06,037,Los Angeles,262601,06037262601,3620351,0,1.39782525317,+34.0738344,-118.5557893,78.2aa,Bel Air/Beverly Glen/Beverly Hills/Brentwood/Malibu/Pacific Palisades/Santa Monica Northwest/Topanga,Urban,3478,5289912.5234375,13057.9516148948
19,06,073,San Diego,010015,06073010015,40475325,0,15.6276121967,+32.5601548,-116.9530008,161j,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,Urban,3913,57140634.8789062,51064.3882501203
20,06,073,San Diego,020810,06073020810,39012365,0,15.0627557891,+33.0348018,-116.7876255,158.2,Ballena/Four Corners/San Diego Country Estates,Urban,4829,55660850.3945312,52960.9709140145
21,06,073,San Diego,021900,06073021900,5953517,3548500,3.6687580118,+32.6650174,-117.1159847,161k,Chula Vista Central and Northwest/National City West,Urban,2351,13444988.5039062,17436.018390931
22,06,073,San Diego,020026,06073020026,3803528,21736,1.47694378183,+33.1292602,-117.1882353,156c,Cardiff by the Sea/Eden Gardens/Harmony Grove/La Costa/Ocean Hills/Lomas Santa Fe/Olivehain/Rancho Santa Fe/San Marcos South/Solana Beach/Vista South,Urban,3996,5469220.60546875,16379.9389650444
23,06,073,San Diego,020028,06073020028,456993,0,0.176446148154,+33.1418052,-117.1700975,156e,Escondido Central and South/San Marcos Central and East,Urban,4125,653588.796875,3526.78547803033
24,06,073,San Diego,013421,06073013421,2476407,0,0.956145063036,+32.6453675,-117.0210109,161t,Bonita/Chula Vista East/Eastlake/La Presa/Lynwood Hills/Rancho del Rey/Sunnyside/Sunny Vista,Urban,4081,3502633.4609375,12157.7755535369
