GEOID,csmoking_crudeprev
01001020100,18.8
01001020200,18.1
01001020300,17.9
01001020400,16.2
01001020501,13.4
01001020502,12
01001020503,13.5
01001020600,17
01001020700,21.9
01001020801,14.9
01001020803,17.9
01001020804,10.1
01001020805,13.4
01001020901,16.4
01001020902,15.6
01001021000,22.1
01001021100,24.5
01003010100,21
01003010200,20.1
01003010300,17.7
01003010400,21
01003010500,17.6
01003010600,25.4
01003010704,12.1
01003010706,11.9
01003010707,9.2
01003010708,14.9
01003010709,11.8
01003010710,12.9
01003010711,13.4
01003010800,14.4
01003010903,17.9
01003010904,17.5
01003010906,19.4
01003010907,12.4
01003010908,16.3
01003011000,22.2
01003011102,13.6
01003011103,11.7
01003011104,15.4
01003011201,9.8
01003011202,11.6
01003011300,12.1
01003011409,16.5
01003011410,14.8
01003011411,17.1
01003011412,14.2
01003011413,12.8
01003011414,12.8
01003011415,9.4
01003011416,8.5
01003011417,11.8
01003011418,14.4
01003011419,13.7
01003011501,15.2
01003011503,17.8
01003011504,13
01003011601,17.1
01003011603,15
01003011604,13.1
01005950100,19.2
01005950200,24.3
01005950300,21.6
01005950400,26
01005950500,19.4
01005950600,20.4
01005950700,16.8
01005950800,20.1
01005950900,22
01007010001,24.1
01007010005,20.6
01007010006,22.5
01007010007,19
01007010008,18.6
01007010009,27.2
01007010010,17.7
01007010011,24.8
01009050103,22.5
01009050104,14.6
01009050105,18.1
01009050106,18.5
01009050107,19.1
01009050200,17.9
01009050301,16.8
01009050302,19.9
01009050400,15.2
01009050501,17.6
01009050502,22.6
01009050601,17.9
01009050603,15.5
01009050604,17
01009050701,19.2
01009050702,20.2
01011952100,22.3
01011952201,22.7
01011952202,33.6
01011952500,18.5
01013952700,20.9
01013952800,14.7
01013952900,22.3
01013953000,19.9
01013953100,23.3
01013953200,18.3
01013953300,20.9
01013953400,23.4
01013953500,19.9
01015000200,19.5
01015000300,29.9
01015000400,24.5
01015000500,30.3
01015000600,29.1
01015000700,20
01015000800,24.9
01015000900,10.3
01015001000,14.4
01015001101,14
01015001102,26
01015001103,16.7
01015001201,19.4
01015001202,21.2
01015001300,29.1
01015001400,21.8
01015001501,21.4
01015001502,21.9
01015001600,22.8
01015001700,19.1
01015001801,17.5
01015001802,16.3
01015002001,16.3
01015002002,15.6
01015002101,13.6
01015002102,16.7
01015002104,16.1
01015002105,21.2
01015002200,18.9
01015002300,20.9
01015002400,18.8
01015002502,19.8
01015002503,16.5
01015002504,19.5
01015002600,22.4
01017953800,19.6
01017953900,20
01017954001,15.8
01017954002,22
01017954200,17.7
01017954300,17.1
01017954600,23.1
01017954700,18.1
01017954800,18.4
01019955701,20.8
01019955702,19.5
01019955801,20.1
01019955802,18.2
01019955900,17.7
01019956000,18.4
01019956101,21.4
01019956102,20.6
01021060101,18.8
01021060103,19.8
01021060104,17.2
01021060200,19.1
01021060300,17.7
01021060401,16.5
01021060403,18.5
01021060404,19
01021060500,20.9
01021060600,18.9
01021060701,22
01021060702,20.7
01023956700,21.2
01023956800,19.3
01023956900,21.9
01023957000,19.4
01025957500,19.1
01025957601,22.3
01025957603,18.7
01025957604,17.4
01025957700,21.8
01025957800,19.7
01025957901,17.9
01025957902,18.4
01025958003,23.8
01027958900,19.2
01027959000,22
01027959100,18.3
01027959200,17.5
01029959500,22.6
01029959600,19.8
01029959700,19.3
01029959800,17.4
01031010100,20.2
01031010200,18.6
01031010300,14.9
01031010400,20.2
