AreaID,Sex,Cancer,Years,PopTot,AAIR,LCI,UCI,White_PopTot,White_AAIR,White_LCI,White_UCI,Black_PopTot,Black_AAIR,Black_LCI,Black_UCI,Hispanic_PopTot,Hispanic_AAIR,Hispanic_LCI,Hispanic_UCI,Asian_PopTot,Asian_AAIR,Asian_LCI,Asian_UCI,QNSES,PopAll,PerRural,PerUninsured,PerForeignBorn,PerWhite,PerBlack,PerAsian,PerHispanic,PerDocVisit,PerFOBT,PerMammo,PerMenPrev,PerCervical,PerWomenPrev,CES_Ozone,CES_PM2.5,CES_Diesel_PM,CES_Drinking_Water,CES_Lead,CES_Pesticides,CES_Tox._Release,CES_Traffic,CES_Cleanup_Sites,CES_Groundwater_Threats,CES_Haz._Waste,CES_Imp._Water_Bodies,CES_Solid_Waste,CES_Pollution_Burden,CES_Asthma,CES_Low_Birth_Weight,CES_Cardiovascular_Disease,CES_Education,CES_Linguistic_Isolation,CES_Poverty,CES_Unemployment,CES_Housing_Burden,PerSmoking,MSSA_Area_SqMi
1.1,Male,Lung,10yr,289444.0,45.7,37.7,54.6,173353.0,46.8,37.4,57.2,,,,,,,,,31638.0,64.1,35.1,101.8,5,58989,0.7,3.1,14.8,57.9,3.2,12.6,25.9,59.3,60.8,73.9,41.7,84.1,33.1,0.04410090953578238,8.398924115725908,0.17583410674811426,454.09572332562726,33.19088591147635,7.709752788511838,184.7421352449216,1227.285271255981,2.528631815190429,42.06253100690168,0.5451504362059364,2.2751387927979616,0.665049526670154,37.37819544050894,30.07870977540034,4.391955755049695,10.48083697541385,6.922142724557466,3.000305428528037,11.80243161607128,3.4583444745788614,13.11133122964513,10.205207472030509,1.41779329489
1.2,Male,Lung,10yr,199372.0,39.6,30.5,49.8,124549.0,45.0,34.0,57.6,,,,,,,,,,,,,5,40686,5.5,2.3,19.6,57.8,3.2,21.3,17.4,60.1,61.0,74.2,42.8,84.5,34.9,0.044694994837504304,8.199686044861572,0.08550521166232362,475.16032007473325,22.10586877427602,14.634020109149906,103.20565263520945,1024.784317075633,14.013159447367128,34.5080055558287,8.957481931265058,4.47222085648262,9.156228182309848,41.371359948866704,27.526394119671572,3.8385672845272625,9.43611214907321,5.212112198239835,4.8742907714243575,9.436779094350756,2.539407050494125,6.438411426323811,9.07853123241418,1.84373697469
10,Male,Lung,10yr,238669.0,76.8,67.2,87.0,157398.0,81.5,70.4,93.3,,,,,,,,,,,,,1,47770,23.1,5.8,7.4,66.1,3.2,10.0,17.0,63.5,57.1,69.6,34.0,78.2,27.3,0.0543847711958993,7.924175039126844,0.05047048489107519,370.70357798354763,52.85173700963168,74.81387706171716,1.2795627068662518,367.4609377058203,17.038989706915793,8.219776983175562,0.24031747344053575,6.037679302219834,4.125852589806127,36.20735500806085,56.026986689264604,4.551006986069199,22.5055783142491,16.71767186143607,3.2469410043029074,49.882830391467905,9.406186184944813,15.27616055557852,17.577371749824316,2.91481958189
100,Male,Lung,10yr,,,,,,,,,,,,,,,,,,,,,1,1732,100.0,10.1,13.6,73.7,1.1,0.6,22.1,63.9,57.3,70.5,35.0,80.2,27.2,0.046000000000000006,3.978504417,0.018,253.37,53.16,63.78,2.6481299329999994,59.24538024000001,4.0,19.75,0.0,8.0,11.7,34.73,22.75,,9.17,22.8,2.5,53.3,,9.1,16.0,956.060636927
102,Male,Lung,10yr,,,,,,,,,,,,,,,,,,,,,3,6341,100.0,6.5,4.5,76.9,1.5,2.0,16.1,62.8,62.3,71.5,38.9,84.1,34.5,0.04539798078488845,3.127120769445856,0.001,656.731895456766,29.871644683276344,3.8426200944471587,0.48150150258068714,136.54425051164955,0.6020192151115453,10.964663735547957,0.2752524018889432,12.387884709330727,20.083952125061064,35.10012212994626,31.613504315258105,4.994017261032405,9.668119198827553,8.514346197687674,1.353134668620746,27.075346034847747,,7.30403843022309,13.6622211366227,1452.20537266
103,Male,Lung,10yr,,,,,,,,,,,,,,,,,,,,,3,8109,6.6,23.4,31.1,59.4,1.2,3.5,35.3,56.7,58.6,71.5,37.6,82.2,34.2,0.046,3.404996099,0.017,388.86,28.41,0.57,0.0,345.0232808,0.0,0.0,0.3,8.0,3.0,26.26,47.37,8.18,9.69,14.2,,30.9,0.3,7.7,,24.2222999565
104,Male,Lung,10yr,,,,,,,,,,,,,,,,,,,,,3,1850,100.0,8.3,18.8,72.2,0.4,1.9,25.0,60.4,63.3,73.4,38.9,83.7,33.9,0.037,4.73804759,0.001,346.31,24.6,0.0,8.76e-05,170.47137569999998,10.0,0.0,0.1,3.0,0.0,13.32,20.46,,6.46,13.4,,24.5,,12.5,9.5,259.042148836
105,Male,Lung,10yr,87713.0,37.6,21.9,57.5,,,,,,,,,,,,,,,,,2,16712,10.9,14.5,42.3,13.8,1.1,2.5,82.0,54.0,50.3,69.9,26.4,76.7,24.0,0.04162221092470202,5.277904119408689,0.02787036095577021,453.2727865333559,56.37703383607298,248.85446647460884,0.011551913296616392,198.9313338148952,3.589659944642151,21.079619273569453,0.1,7.0,2.5560639439643,34.01679432864486,37.16724284019657,4.055630119188838,17.304678303112464,52.319877986781904,27.48035361238208,50.79206914082359,3.2023668304807096,21.589730554143365,16.6609022556391,0.729758747278
106,Male,Lung,10yr,,,,,,,,,,,,,,,,,,,,,2,3990,100.0,5.7,13.3,57.6,3.8,3.6,33.8,59.0,57.8,71.9,34.3,81.7,30.3,0.045,4.907932369,0.002,620.65,44.35,69.44,31.30046717,139.3786739,4.0,100.3,3.0,8.0,26.5,47.09,29.94,5.48,10.29,13.0,3.4,39.2,,14.4,13.2,1435.04030078
107,Male,Lung,10yr,336992.0,32.9,24.2,42.9,40025.0,45.0,25.6,69.7,,,,,258723.0,25.7,16.5,37.0,,,,,2,56285,8.3,8.3,34.2,9.8,5.3,2.7,81.9,53.1,50.0,71.0,26.6,77.8,23.5,0.042879916676877836,5.186662538546764,0.05616997216727642,568.503505347734,52.888163375150086,695.8627211301136,0.21158105710947536,744.6700905273951,3.288392528926777,1.6541390235790432,0.2085007964710207,6.984280637877011,2.263638034554589,33.96420974320374,45.34425052952194,4.945854138202294,15.8414021390936,46.92792199835455,20.828404339005505,45.45134972881216,5.9265093563463855,16.476000910859934,17.6831064619236,1.44846597303
